id,name,set,country,round,type
489,MHM CIR3 HQ,MHM,CI,3,HQ
490,MHM CIR3 FQ,MHM,CI,3,FQ
491,MHM CIR3 SQ,MHM,CI,3,SQ
492,MHM CIR4 HQ,MHM,CI,4,HQ
493,MHM CIR4 FQ,MHM,CI,4,FQ
494,MHM CIR4 SQ,MHM,CI,4,SQ
495,MHM CIR5 HQ,MHM,CI,5,HQ
496,MHM CIR5 FQ,MHM,CI,5,FQ
497,MHM CIR5 SQ,MHM,CI,5,SQ
498,MHM CIR6 HQ,MHM,CI,6,HQ
499,MHM CIR6 FQ,MHM,CI,6,FQ
500,MHM CIR6 SQ,MHM,CI,6,SQ
501,MHM CIR7 HQ,MHM,CI,7,HQ
502,MHM CIR7 FQ,MHM,CI,7,FQ
503,MHM CIR7 SQ,MHM,CI,7,SQ
504,MHM CDR1 HQ,MHM,CD,1,HQ
505,MHM CDR1 FQ,MHM,CD,1,FQ
506,MHM CDR1 SQ,MHM,CD,1,SQ
507,MHM CDR2 HQ,MHM,CD,2,HQ
508,MHM CDR2 FQ,MHM,CD,2,FQ
509,MHM CDR2 SQ,MHM,CD,2,SQ
510,MHM CDR3 HQ,MHM,CD,3,HQ
511,MHM CDR3 FQ,MHM,CD,3,FQ
512,MHM CDR3 SQ,MHM,CD,3,SQ
513,MHM CDR4 HQ,MHM,CD,4,HQ
514,MHM CDR4 FQ,MHM,CD,4,FQ
515,MHM CDR4 SQ,MHM,CD,4,SQ
516,MHM CDR5 HQ,MHM,CD,5,HQ
517,MHM CDR5 FQ,MHM,CD,5,FQ
518,MHM CDR5 SQ,MHM,CD,5,SQ
519,MHM CDR6 HQ,MHM,CD,6,HQ
520,MHM CDR6 FQ,MHM,CD,6,FQ
521,MHM CDR6 SQ,MHM,CD,6,SQ
522,MHM CDR7 HQ,MHM,CD,7,HQ
523,MHM CDR7 FQ,MHM,CD,7,FQ
524,MHM CDR7 SQ,MHM,CD,7,SQ
525,MHM ETR1 HQ,MHM,ET,1,HQ
526,MHM ETR1 FQ,MHM,ET,1,FQ
527,MHM ETR1 SQ,MHM,ET,1,SQ
528,MHM ETR2 HQ,MHM,ET,2,HQ
529,MHM ETR2 FQ,MHM,ET,2,FQ
530,MHM ETR2 SQ,MHM,ET,2,SQ
531,MHM ETR3 HQ,MHM,ET,3,HQ
532,MHM ETR3 FQ,MHM,ET,3,FQ
533,MHM ETR3 SQ,MHM,ET,3,SQ
534,MHM ETR4 HQ,MHM,ET,4,HQ
535,MHM ETR4 FQ,MHM,ET,4,FQ
536,MHM ETR4 SQ,MHM,ET,4,SQ
537,MHM ETR5 HQ,MHM,ET,5,HQ
